Sample,Date,Site,Diptera,Hymenoptera,Hymenoptera_crawling,Hymenoptera_flying,Hemiptera,Coleoptera,Coleoptera_crawling,Coleoptera_flying,Lepidoptera,Orthoptera,Mollusca,Araneae,Thysanoptera,Collembola,Psocodea,Acarina,Opisthopora,Neuroptera
C1,7/1/2020,Dix,34,10,0,10,12,3,0,3,2,0,0,0,139,0,0,0,0,0
C2,7/1/2020,Dix,37,7,1,6,5,0,0,0,0,0,0,2,110,0,0,0,0,0
C5,7/1/2020,Allerton,90,16,0,16,25,1,0,1,0,0,0,0,43,0,0,1,0,0
C6,7/1/2020,Allerton,82,18,0,18,28,3,0,3,0,0,0,0,50,0,0,1,0,0
C7,7/1/2020,Rec,30,5,0,5,13,2,0,2,1,0,0,0,86,0,0,0,0,0
C8,7/1/2020,Rec,48,3,0,3,20,0,0,0,0,0,0,0,80,0,0,0,0,0
C9,7/15/2020,Dix,24,4,0,4,3,1,0,1,0,0,0,2,48,0,0,0,0,0
C10,7/15/2020,Dix,21,3,0,3,7,0,0,0,0,0,0,0,80,0,1,0,0,0
C11,7/15/2020,Allerton,75,9,0,9,17,1,0,1,0,0,0,1,32,0,1,0,0,0
C12,7/15/2020,Allerton,78,15,0,15,24,3,0,3,0,0,0,0,40,0,1,0,0,0
C13,7/15/2020,Rec,22,7,0,7,20,1,0,1,0,0,0,1,58,0,1,0,0,0
C14,7/15/2020,Rec,35,7,0,7,11,1,0,1,0,0,0,0,45,0,1,0,0,0
C15,7/27/2020,Dix,47,4,0,4,17,3,0,3,0,0,0,0,51,1,0,0,0,0
C16,7/27/2020,Dix,26,2,0,2,4,0,0,0,0,0,0,0,38,0,0,0,0,0
C17,7/27/2020,Allerton,67,5,0,5,44,4,1,3,1,0,0,0,42,0,0,0,0,0
C18,7/27/2020,Allerton,107,8,0,8,39,5,0,5,0,0,0,0,36,0,1,1,0,0
C19,7/27/2020,Rec,15,9,0,9,13,1,0,1,0,0,0,0,17,0,1,0,0,0
C20,7/27/2020,Rec,17,10,1,9,6,1,0,1,1,0,0,1,18,0,0,0,0,0
C21,8/11/2020,Dix,56,6,0,6,4,10,0,10,0,0,0,2,12,1,0,0,0,0
C22,8/11/2020,Dix,47,12,0,12,9,9,1,8,1,0,0,0,34,0,1,0,0,0
C23,8/11/2020,Rec,28,9,0,9,4,7,0,7,1,0,0,0,15,0,1,0,0,0
C24,8/11/2020,Rec,30,6,0,6,11,2,0,2,0,0,0,0,25,0,0,0,0,0
C25,8/11/2020,Allerton,80,25,0,25,34,8,0,8,0,0,0,0,18,1,0,2,0,0
C26,8/11/2020,Allerton,105,11,0,11,24,5,1,4,0,0,0,0,19,0,0,0,0,0
C27,8/26/2020,Dix,20,13,0,13,9,5,0,5,0,0,0,0,5,0,0,0,0,0
C28,8/26/2020,Dix,30,11,0,11,7,5,0,5,0,0,0,0,14,0,0,0,0,0
C29,8/26/2020,Allerton,38,22,0,22,33,39,0,39,1,0,0,1,12,0,0,0,0,0
C30,8/26/2020,Allerton,36,17,0,17,19,41,0,41,1,0,0,3,10,0,2,0,0,0
C31,8/26/2020,Rec,11,8,0,8,3,1,0,1,0,0,0,2,27,0,1,0,0,0
C32,8/26/2020,Rec,15,9,0,9,11,3,0,3,1,0,0,0,8,0,4,0,0,0
C33,9/7/2020,Dix,7,8,0,8,2,3,1,2,0,0,0,0,7,0,0,0,0,0
C34,9/7/2020,Dix,6,9,0,9,2,0,0,0,0,0,0,1,9,0,0,0,0,0
C35,9/7/2020,Allerton,40,34,0,34,50,6,2,4,1,0,0,0,25,0,0,0,0,0
C36,9/7/2020,Allerton,25,47,0,47,27,0,0,0,0,0,0,1,15,0,0,0,0,0
C37,9/7/2020,Rec,18,11,0,11,14,0,0,0,0,0,0,0,28,0,1,0,0,0
C38,9/7/2020,Rec,13,15,0,15,14,1,0,1,0,0,0,0,26,0,0,0,0,0
C39,9/23/2020,Dix,9,0,0,0,2,1,0,1,1,0,0,0,5,0,0,0,0,0
C40,9/23/2020,Dix,8,7,0,7,1,0,0,0,1,0,0,1,7,0,1,0,0,0
C41,9/23/2020,Allerton,10,6,1,5,2,1,0,1,0,0,0,1,1,0,0,0,0,0
C42,9/23/2020,Allerton,16,2,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0
C43,9/23/2020,Rec,17,3,0,3,2,0,0,0,0,0,0,1,5,0,0,0,0,0
C44,9/23/2020,Rec,21,7,2,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0
