Sample,Date,Site,Diptera,,Hymenoptera_crawling,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Pompilidae,Other wasp,Miridae,Cicadellidae,Membracidae,Aphididae,Aleyrodidae,Hemiptera nymph,Orius ,Ceropidae,Nabidae,Alydidae,Derbidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Small unknown coleoptera,Buprestidae,Elateridae,Micro Lepidoptera,Macro Lepidoptera,Orthoptera,Mollusca,Araneae,Thysanoptera,Collembola,Psocidae,Acarina,Larva,Caterpillar,Earthworm,Hemerobidae,Zygoptera
R1,7/1/2020,Dix,51,3,3,0,2,4,0,0,0,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,27,16,0,2,0,0,0,1,0
R2,7/1/2020,Dix,25,14,14,0,0,19,0,0,0,0,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,94,48,0,13,0,0,0,0,0
R5,7/1/2020,Allerton,68,1,5,0,3,12,4,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,15,49,0,5,1,0,0,0,0
R6,7/1/2020,Allerton,80,4,6,0,1,11,2,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,1,1,8,30,0,7,0,0,0,0,0
R7,7/1/2020,Rec,25,7,10,1,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,53,0,2,0,0,0,0,0
R8,7/1/2020,Rec,17,3,6,0,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,5,8,0,0,0,0,0,0,0
R9,7/15/2020,Dix,43,5,7,0,0,5,2,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,26,5,0,3,0,0,0,0,0
R10,7/15/2020,Dix,36,34,35,0,0,1,1,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,13,8,0,0,0,0,0,0,0
R11,7/15/2020,Allerton,132,3,3,0,2,16,0,0,0,0,297,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,21,12,0,0,0,0,0,0,0
R12,7/15/2020,Allerton,131,6,10,0,0,12,4,0,0,2,277,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,8,17,47,0,3,0,0,0,0,0
R13,7/15/2020,Rec,28,34,37,1,1,3,3,0,0,0,97,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,14,15,0,0,0,0,0,0,0
R14,7/15/2020,Rec,28,56,58,3,0,9,2,0,0,0,106,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,57,17,0,0,0,0,0,0,0
R15,7/27/2020,Dix,52,96,97,0,0,12,1,0,0,0,161,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,19,29,0,6,0,0,0,0,0
R16,7/27/2020,Dix,56,25,25,0,1,8,0,0,0,0,103,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,22,0,2,0,0,0,0,0
R17,7/27/2020,Allerton,49,7,8,0,0,27,1,0,0,0,288,0,33,4,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,2,0,0,0,0,0,0,16,14,74,0,3,0,0,0,0,0
R18,7/27/2020,Allerton,48,12,16,0,1,14,4,0,0,5,266,0,11,3,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,16,17,74,0,7,0,0,0,0,0
R19,7/27/2020,Rec,17,20,20,5,0,6,0,0,0,0,70,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,5,16,0,0,0,0,0,0,0
R20,7/27/2020,Rec,29,12,13,3,0,7,1,0,0,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0
R21,8/11/2020,Dix,54,5,6,2,0,14,1,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,53,12,22,0,8,0,0,0,0,0
R22,8/11/2020,Dix,56,11,11,0,1,20,0,0,0,0,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,23,15,0,10,0,0,0,0,0
R23,8/11/2020,Allerton,88,33,34,0,3,22,1,0,0,4,61,0,42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,9,4,35,0,5,0,0,0,0,0
R24,8/11/2020,Allerton,86,8,13,0,0,34,5,0,0,1,101,0,11,1,0,0,0,0,1,0,0,0,1,0,0,2,0,3,1,0,0,0,0,0,0,0,0,19,11,20,0,21,0,0,0,0,0
R25,8/11/2020,Rec,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R26,8/11/2020,Rec,30,9,11,2,0,5,2,0,0,0,14,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,2,0,7,7,10,0,5,0,0,0,0,0
R27,8/26/2020,Dix,27,24,25,7,0,19,1,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,13,3,0,7,0,0,0,0,0
R28,8/26/2020,Dix,45,3,5,0,0,22,2,0,0,0,14,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,12,10,8,0,6,0,0,0,0,0
R29,8/26/2020,Allerton,70,9,11,0,2,35,2,0,0,2,18,0,9,1,1,0,0,0,0,0,0,0,2,11,0,2,0,7,0,0,0,0,0,0,0,0,0,10,7,10,0,26,0,0,0,0,0
R30,8/26/2020,Allerton,80,5,6,0,1,75,1,0,0,2,25,0,8,0,0,0,0,0,0,0,0,0,1,5,0,1,0,8,0,0,0,0,0,0,0,0,0,8,7,4,0,29,0,0,0,0,0
R31,8/26/2020,Rec,13,61,65,0,0,11,4,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,5,0,1,0,0,0,0,0,1
R32,8/26/2020,Rec,19,30,32,0,1,7,2,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0
R33,9/7/2020,Dix,31,2,5,0,1,27,3,0,0,0,5,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,6,5,0,9,0,0,0,0,0
R34,9/7/2020,Dix,25,3,3,1,2,31,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,10,6,0,4,0,0,0,0,0
R35,9/7/2020,Allerton,36,0,6,0,4,23,6,0,1,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,12,2,17,0,7,0,0,0,0,0
R36,9/7/2020,Allerton,53,2,4,0,1,30,2,0,0,0,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8,30,0,15,0,0,0,0,0
R37,9/7/2020,Rec,14,6,6,1,0,13,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,5,4,0,0,0,0,0,0,0
R38,9/7/2020,Rec,9,3,4,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1
R39,9/23/2020,Dix,13,2,2,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,2,0,0,0,0,0
R40,9/23/2020,Dix,8,1,1,0,1,6,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,1,0,6,0,0,0,0,0
R41,9/23/2020,Allerton,6,1,1,0,1,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,4,0,6,0,0,0,0,0
R42,9/23/2020,Allerton,13,1,2,0,0,6,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,0,0,0,0,0
R43,9/23/2020,Rec,6,12,12,3,0,8,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0
R44,9/23/2020,Rec,22,5,5,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,1
