Trap,crawling,crawling,crawling,crawling,crawling,crawling,crawling,crawling,crawling
sticky,0,0,0,0,0,0,0,0,0
sticky,1,0,0,0,2,0,0,0,0
sticky,0,0,0,0,0,0,1,0,0
sticky,0,0,0,0,0,0,1,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,2,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,1,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,1,0,0,0,0,0,0
sticky,0,0,0,0,0,0,1,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,1,0,0,0,1,0,0,0,0
sticky,0,0,0,0,2,1,0,0,0
sticky,0,0,1,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,1,2,0,0
sticky,0,0,1,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,3,0,0,0,0
sticky,0,0,0,0,2,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,1,0,0,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,2,0,0,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,0,0,0,0,1,0,0,0,0
sticky,2,0,0,0,0,0,0,0,0
ramp,3,0,0,0,4,16,2,0,0
ramp,14,0,0,0,13,48,13,0,0
ramp,1,1,0,0,5,49,5,0,0
ramp,4,1,1,0,1,30,7,0,0
ramp,7,0,0,0,3,53,2,0,0
ramp,3,1,1,0,0,8,0,0,0
ramp,5,0,1,1,12,5,3,0,0
ramp,34,0,0,0,5,8,0,0,0
ramp,3,0,0,0,5,12,0,0,0
ramp,6,0,1,0,8,47,3,0,0
ramp,34,0,0,0,3,15,0,0,0
ramp,56,0,0,0,2,17,0,0,0
ramp,96,0,0,0,33,29,6,0,0
ramp,25,0,0,0,24,22,2,0,0
ramp,7,0,2,0,16,74,3,0,0
ramp,12,0,1,1,16,74,7,0,0
ramp,20,0,0,0,6,16,0,0,0
ramp,12,0,0,0,3,9,0,0,0
ramp,5,0,0,0,53,22,8,0,0
ramp,11,0,0,0,32,15,10,0,0
ramp,33,0,0,0,9,35,5,0,0
ramp,8,0,1,0,19,20,21,0,0
ramp,1,0,0,0,0,1,0,0,0
ramp,9,0,1,0,7,10,5,0,0
ramp,24,0,0,0,8,3,7,0,0
ramp,3,0,1,0,12,8,6,0,0
ramp,9,0,2,0,10,10,26,0,0
ramp,5,0,1,0,8,4,29,0,0
ramp,61,0,0,0,2,0,0,0,0
ramp,30,0,0,0,1,0,0,0,0
ramp,2,0,0,0,12,5,9,0,0
ramp,3,0,0,0,5,6,4,0,0
ramp,0,0,0,0,12,17,7,0,0
ramp,2,0,0,0,4,30,15,0,0
ramp,6,1,0,0,3,4,0,0,0
ramp,3,0,0,0,0,0,2,0,0
ramp,2,0,0,0,7,4,2,0,0
ramp,1,0,0,0,3,1,6,0,0
ramp,1,0,0,0,4,4,6,0,0
ramp,1,0,0,0,4,3,3,0,0
ramp,12,0,0,0,2,8,0,0,0
ramp,5,0,0,0,5,6,1,0,0
jar,6,0,1,0,1,0,1,0,0
jar,2,0,0,0,2,0,1,0,0
jar,0,0,0,0,1,4,0,0,0
jar,0,0,0,0,0,9,0,0,0
jar,4,0,0,0,0,3,0,0,0
jar,3,0,0,0,0,7,4,0,0
jar,9,0,0,0,1,2,0,0,0
jar,3,0,0,0,2,0,0,0,0
jar,2,0,0,0,2,1,4,0,0
jar,1,1,0,0,1,4,0,0,0
jar,12,0,0,0,2,1,0,0,0
jar,3,1,0,0,0,2,0,0,0
jar,9,0,0,0,14,7,0,0,0
jar,18,0,0,0,17,1,0,0,0
jar,1,0,0,0,9,3,0,0,0
jar,2,0,0,0,5,4,0,0,0
jar,14,1,0,0,3,0,0,0,0
jar,9,0,0,0,1,1,0,0,0
jar,5,0,0,0,53,0,0,0,0
jar,7,0,0,0,14,0,0,0,0
jar,0,0,0,0,11,0,0,0,0
jar,1,0,0,0,5,1,1,0,0
jar,4,0,0,0,1,0,0,0,0
jar,1,0,0,0,2,1,0,0,0
jar,8,0,0,0,8,0,1,0,0
jar,2,0,0,0,22,0,2,0,0
jar,8,0,1,0,6,0,2,0,0
jar,4,0,0,0,3,0,0,0,0
jar,17,0,0,0,2,0,0,0,0
jar,64,0,0,0,0,0,0,0,0
jar,0,0,0,0,4,0,1,0,0
jar,3,0,0,0,3,1,1,0,0
jar,1,0,0,0,1,0,0,0,0
jar,0,0,1,0,3,0,0,0,0
jar,5,0,0,0,1,0,0,0,0
jar,21,0,0,0,2,0,0,0,0
jar,2,0,0,0,2,1,1,0,0
jar,1,0,0,0,4,0,0,1,0
jar,1,0,1,0,6,1,0,0,0
jar,0,0,0,0,0,5,2,1,0
jar,6,0,0,0,2,0,0,0,0
jar,10,0,0,0,2,0,0,0,0
pitfall,2,0,0,0,2,4,1,0,0
pitfall,2,0,0,0,1,2,0,0,0
pitfall,1,0,0,0,4,9,0,0,0
pitfall,1,1,0,0,5,9,1,0,0
pitfall,6,0,0,0,1,2,1,0,0
pitfall,9,0,0,0,3,0,0,0,0
pitfall,1,0,0,0,1,2,0,0,0
pitfall,13,0,0,0,4,11,1,0,0
pitfall,16,0,0,0,2,1,1,0,0
pitfall,5,0,0,0,0,3,0,0,0
pitfall,2,0,0,0,1,1,0,0,0
pitfall,10,0,0,0,2,5,2,0,0
pitfall,4,0,1,0,12,14,1,0,0
pitfall,3,0,0,0,5,0,1,0,0
pitfall,44,1,0,0,2,0,0,0,0
pitfall,1,0,0,0,0,1,0,0,0
pitfall,4,0,0,0,6,0,0,0,0
pitfall,8,0,0,0,2,3,0,0,0
pitfall,4,0,0,0,2,2,2,0,1
pitfall,0,0,0,0,6,0,0,1,0
pitfall,6,0,0,0,2,0,1,0,0
pitfall,2,0,0,0,1,0,1,0,0
pitfall,1,0,0,0,2,0,0,0,0
pitfall,0,0,0,0,4,0,4,0,0
pitfall,2,0,0,0,4,0,2,0,0
pitfall,1,0,0,0,0,0,0,0,0
pitfall,15,0,0,0,0,0,1,0,0
pitfall,2,0,0,0,2,0,0,0,0
pitfall,0,0,0,0,2,0,0,0,0
pitfall,3,0,0,0,2,4,1,0,0
pitfall,3,0,1,0,5,2,0,0,0
pitfall,0,0,0,0,2,1,0,0,0
pitfall,7,1,0,0,9,0,0,0,0
pitfall,1,0,0,0,1,4,0,0,0
pitfall,3,0,0,0,1,0,0,0,0
pitfall,1,0,0,0,0,0,0,0,0
pitfall,0,0,0,0,1,0,0,0,0
pitfall,1,0,0,0,0,0,0,0,0
pitfall,0,1,0,0,0,1,0,0,0
