Trap,Carabidae,Staphylinidae,Scarabaeidae,Cicadellidae,Membracidae,Aphididae,Ceropidae,Derbidae,Elateridae,Orthoptera
ramp,0,0,0,11,0,2,0,0,0,0
ramp,0,0,0,20,0,1,0,0,1,0
ramp,0,0,0,19,0,0,0,0,0,0
ramp,0,1,0,11,0,1,0,0,0,0
ramp,0,0,0,2,0,1,0,0,0,0
ramp,0,1,0,5,0,5,0,0,1,1
ramp,0,1,1,129,0,0,0,0,0,0
ramp,0,0,0,22,0,2,0,0,1,0
ramp,0,0,0,297,0,2,0,0,0,0
ramp,0,1,0,277,0,2,0,0,0,0
ramp,0,0,0,97,0,5,0,0,0,1
ramp,0,0,0,106,0,7,0,0,0,1
ramp,0,0,0,161,0,2,0,0,1,0
ramp,0,0,0,103,0,4,0,0,0,0
ramp,0,2,0,288,0,33,0,0,0,0
ramp,0,1,1,266,0,11,0,0,1,0
ramp,0,0,0,70,0,3,0,0,0,2
ramp,0,0,0,72,0,1,0,0,0,0
ramp,0,0,0,22,0,2,0,0,0,0
ramp,0,0,0,31,0,7,0,0,0,0
ramp,0,0,0,61,0,42,0,0,0,0
ramp,0,1,0,101,0,11,0,0,0,0
ramp,0,0,0,0,0,0,0,0,0,0
ramp,0,1,0,14,0,1,0,0,0,2
ramp,0,0,0,0,0,41,0,0,0,0
ramp,0,1,0,14,0,2,0,0,0,0
ramp,0,2,0,18,0,9,0,0,0,0
ramp,0,1,0,25,0,8,0,0,0,0
ramp,0,0,0,5,0,1,0,0,0,1
ramp,0,0,0,9,0,4,0,0,0,0
ramp,0,0,0,5,0,21,0,0,0,0
ramp,0,0,0,6,0,5,0,0,0,0
ramp,0,0,0,24,0,2,0,0,0,0
ramp,0,0,0,26,1,5,0,0,0,0
ramp,1,0,0,2,0,2,0,0,0,0
ramp,0,0,0,0,0,1,0,0,0,0
ramp,0,0,0,1,0,0,0,0,0,0
ramp,0,0,0,1,0,4,0,0,0,0
ramp,0,0,0,13,0,0,0,0,0,0
ramp,0,0,0,3,0,0,0,0,0,0
ramp,0,0,0,3,0,3,0,0,0,0
ramp,0,0,0,0,0,8,0,0,0,0
sticky,0,0,0,2,0,3,0,0,0,0
sticky,0,0,0,0,0,3,0,0,0,0
sticky,0,0,0,2,2,11,0,0,0,0
sticky,0,0,0,2,3,6,0,0,0,0
sticky,0,0,0,1,0,9,0,0,0,0
sticky,0,0,0,3,3,10,0,0,0,0
sticky,0,0,0,3,0,0,0,0,0,0
sticky,0,0,0,4,0,1,1,0,0,0
sticky,0,0,0,8,0,1,0,0,0,0
sticky,0,0,0,17,0,4,0,0,0,0
sticky,0,0,0,6,0,11,0,0,0,0
sticky,0,0,0,3,0,8,0,0,0,0
sticky,0,0,0,14,0,0,0,0,0,0
sticky,0,0,0,1,0,1,0,0,0,0
sticky,0,1,0,21,0,3,0,0,0,0
sticky,0,0,0,17,0,8,0,0,0,0
sticky,0,0,0,3,0,6,0,0,0,0
sticky,0,0,0,1,0,5,0,0,0,0
sticky,0,0,0,0,0,2,0,0,5,0
sticky,0,1,0,3,0,1,0,0,3,0
sticky,0,0,0,0,0,2,0,0,0,0
sticky,0,0,0,1,0,7,0,0,0,0
sticky,0,0,0,8,0,9,0,0,1,0
sticky,0,1,0,6,0,6,0,0,0,0
sticky,0,0,0,1,0,7,0,0,3,0
sticky,0,0,0,1,0,5,0,0,0,0
sticky,0,0,0,3,0,24,0,0,0,0
sticky,0,0,0,2,0,14,0,0,0,0
sticky,0,0,0,1,0,2,0,0,0,0
sticky,0,0,0,0,0,6,0,0,0,0
sticky,0,1,0,0,0,2,0,0,0,0
sticky,0,0,0,0,0,2,0,0,0,0
sticky,0,2,0,0,0,38,0,0,0,0
sticky,0,0,0,0,0,23,0,0,0,0
sticky,0,0,0,0,0,12,0,0,0,0
sticky,0,0,0,0,0,14,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,0,0,0,0,0
sticky,0,0,0,0,0,2,0,0,0,0
sticky,0,0,0,1,0,1,0,0,0,0
sticky,0,0,0,0,0,4,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,0,0,1,0,1,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,1,0
pitfall,0,0,0,4,0,0,0,0,0,0
pitfall,0,0,0,2,0,0,0,0,0,0
pitfall,0,0,0,5,0,0,0,0,2,0
pitfall,0,0,0,2,0,1,0,0,0,0
pitfall,0,0,0,4,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,5,0,0,0,0,0,0
pitfall,0,0,0,10,0,0,0,0,0,0
pitfall,0,1,0,5,0,4,0,0,0,0
pitfall,0,0,0,3,0,0,0,0,0,0
pitfall,1,0,0,1,0,1,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,1,0,1,0,0,0,0
pitfall,0,0,0,1,0,1,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,2,0,2,0,0,0,0
pitfall,0,0,0,1,0,1,0,0,0,0
pitfall,0,0,0,9,0,0,0,0,0,0
pitfall,0,0,0,4,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,1,0,4,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,1,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,0,0,0,1,0,0,0,0,0,0
pitfall,0,0,0,0,0,0,0,0,0,0
pitfall,1,0,0,0,0,0,0,0,0,0
jar,0,1,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,1,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,1
jar,0,0,0,5,0,0,0,2,0,0
jar,0,0,0,4,0,0,0,0,0,0
jar,0,0,0,7,0,0,0,0,0,0
jar,1,0,0,8,0,0,0,0,0,0
jar,0,0,0,1,0,0,0,0,0,0
jar,1,0,0,5,0,0,0,0,0,0
jar,0,0,0,27,0,0,0,0,0,0
jar,0,0,0,12,0,0,0,0,0,0
jar,0,0,0,15,0,1,1,0,0,0
jar,0,0,0,10,0,3,0,0,0,0
jar,0,0,0,4,0,0,0,0,0,1
jar,0,0,0,2,0,0,0,0,0,0
jar,0,0,0,4,0,0,0,0,0,0
jar,0,0,0,1,0,3,0,0,0,0
jar,0,0,0,7,0,4,0,0,0,0
jar,0,0,0,1,0,1,0,0,0,0
jar,0,0,0,1,0,1,0,0,0,0
jar,0,0,0,1,0,0,0,0,0,0
jar,0,0,0,2,0,19,0,0,0,0
jar,0,0,0,9,0,2,0,0,0,0
jar,0,1,0,5,0,1,0,0,0,0
jar,0,0,0,5,0,3,0,0,0,0
jar,0,0,0,1,0,0,0,0,0,0
jar,0,0,0,7,0,0,0,0,0,0
jar,0,0,0,3,0,0,0,0,0,0
jar,0,0,0,3,0,1,0,0,0,0
jar,0,0,0,8,0,0,0,0,0,0
jar,0,1,0,4,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,4,0,0,0,0,0,0
jar,0,0,0,2,0,0,0,0,0,0
jar,0,1,0,2,0,0,0,0,0,0
jar,0,0,0,3,0,1,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,0,0,1
